우선 순위,Epic,기능,요구사항,작업 범위,요구사항 명세,담당자
1순위,실시간 위치,실시간 위치 공유,실시간 위치 공유,Frontend,모임 한시간 전 websocket을 통해 구성원 위치 공유,박유진
1순위,실시간 위치,실시간 위치 공유,실시간 위치 공유,Backend,모임 한시간 전 websocket을 통해 구성원 위치 공유,randallkk
1순위,실시간 위치,실시간 위치 공유,재촉하기,Frontend,지도에 상대 클릭시 재촉하기 기능,박유진
1순위,"실시간 위치, 알림",실시간 위치 공유,재촉하기,Backend,지도에 상대 클릭시 재촉 알림 보내기,김준호
1순위,실시간 위치,출석 관리,위치 기반 출석 체크,Frontend,도착지 반경 50미터 안에 들어올 경우 출석체크,박유진
1순위,실시간 위치,출석 관리,위치 기반 출석 체크,Frontend,모두 도착시 위치 페이지 종료,박유진
1순위,실시간 위치,출석 관리,출석 시간 저장,Backend,목적지에 도착 시 출석시간 저장,randallkk
1순위,채팅,채팅,실시간 채팅,Frontend,실시간 위치 공유 시 실시간으로 채팅,Eunjee Lee
1순위,채팅,채팅,실시간 채팅,Backend,실시간 위치 공유 시 실시간으로 채팅,이지영
1순위,알림,앱 푸시 알림,채팅 메시지 알림,Frontend,채팅 메시지에 대한 푸시 알림,
1순위,알림,앱 푸시 알림,채팅 메시지 알림,Backend,채팅 메시지에 대한 푸시 알림 (SSE),김준호
1순위,채팅,채팅,실시간 채팅,Frontend,실시간 위치 공유 중 실시간으로 이모지 전송(지도에 표기),Eunjee Lee
1순위,채팅,채팅,실시간 채팅,Backend,실시간 위치 공유 중 실시간으로 이모지 전송(지도에 표기),이지영
1순위,채팅,채팅 내역 저장,,Backend,실시간 위치 공유 중 이뤄진 채팅 내역 저장(MongoDB),이지영
1순위,실시간 위치,출석 관리,나의 도착 순서 보여주기,Frontend,각 사용자마다 도착 시 도착 순서 보여주기 (일시적),박유진
1순위,실시간 위치,출석 관리,나의 도착 순서 보여주기,Backend,각 사용자마다 도착 시 도착 등수 리턴,randallkk
1순위,실시간 위치,출석 관리,모든 도착 순서 보여주기,Frontend,모두 도착 시 모든 사용자의 도착 랭킹 보여주기,박유진
1순위,실시간 위치,출석 관리,모든 도착 순서 보여주기,Backend,모두 도착 시 모든 사용자의 도착 랭킹 리턴,randallkk
1순위,실시간 위치,실시간 길찾기,도움 요청,Frontend,길찾기 도움 요청시 지도의 구성원에 표시,Eunjee Lee
1순위,실시간 위치,실시간 길찾기,도움 요청,Frontend,길찾기 도움 요청시 채팅에 표시,Eunjee Lee
1순위,"실시간 위치, 채팅",실시간 길찾기,도움 요청,Backend,길찾기 도움 요청시 채팅에 표시,이지영
1순위,"실시간 위치, 알림",실시간 길찾기,도움 요청,Backend,길찾기 도움 요청 알림,김준호
1순위,실시간 위치,실시간 길찾기,길 안내 그리기,Frontend,도움 요청 탭 클릭시 길 안내 가능,박유진
1순위,실시간 위치,실시간 길찾기,길 안내 그리기,Frontend,지도 상에 경로 그리기,박유진
1순위,실시간 위치,실시간 길찾기,길 안내 그리기,Frontend,경로 전송하기,박유진
1순위,AR,실시간 길찾기,AR로 길 안내,Frontend,지도상에 생성된 경로로 AR 화면 제공,유한별
1순위,"AR, 알림",실시간 길찾기,AR로 길 안내,Backend,지도상에 생성된 경로로 AR 화면 제공,김준호
1순위,AR,출석 관리,AR로 출석,Frontend,도착지 Nm 전에 AR화면에 접속하여 도착지에서 출석체크 및 리워드,Eunjee Lee
,,,,,,
2순위,홈,일정 추가,모임 일정 추가,Frontend,사용자의 모임이 생성되면 자동으로 캘린더에 추가,
2순위,홈,일정 추가,캘린더 생성,Backend,사용자가 추가한 일정 입력 정보를 받아 DB에 저장,
2순위,홈,모임 카드 목록,모든 모임 카드 목록,Frontend,모든 모임 카드 목록 출력,
2순위,홈,특정 날짜 보기,특정 날짜 모임 카드,Frontend,특정 날짜 모임 카드 출력,
2순위,모임 만들기,모임 정보 기입,모임 설명 작성,Backend,모임 설명,
2순위,모임 만들기,모임 정보 기입,장소 검색,Frontend,서버로부터 받아온 장소 목록 출력,
2순위,모임 만들기,모임 정보 기입,장소 검색,Backend,네이버 장소 검색 api를 통해 입력한 키워드에 맞는 장소들 목록 반환,김준호
2순위,모임 만들기,모임 정보 기입,모임 일정 선택,Frontend,캘린더에서 모임 날짜와 시간을 선택,
2순위,모임 만들기,모임 정보 기입,모임 일정 선택,Backend,캘린더에서 모임 날짜와 시간 입력,
2순위,모임 만들기,모임 정보 기입,지각비 설정,Frontend,해당 모임에서의 지각비 설정,
2순위,모임 만들기,모임 정보 기입,지각비 설정,Backend,해당 모임에서의 지각비 설정,
2순위,모임 만들기,모임 정보 기입,모임 URL 공유,Frontend,생성된 모임 카드의 링크를 카카오톡으로 공유,
2순위,모임 만들기,모임 정보 기입,모임 URL 생성,Backend,모임의 공유 링크 생성,
2순위,설정,송금 QR 생성,카카오 송금 QR 출력,Frontend,카카오톡 송금 선택 시 송금 받을 사용자의 QR 코드 출력,
